Incerteza,LogS(mol/L),LogS_pred
3.047936377991561,-6.1267,-2.215077745961462
1.4778559385624643,-6.3306,-5.118130101951964
1.9038308578487997,-4.1999,-2.614189420169474
0.6489803948549699,-2.1676,-1.800307876226547
1.4561145339056956,-0.30421,-1.685465229288138
1.5662784652619846,0.48895,-1.053778369865102
2.9231372535245486,-8.7449,-5.707988261576265
1.0933317300008327,1.3237,0.4877069914458166
1.285945216729972,-3.3236,-4.376872254378757
1.2565831077328675,0.69221,-0.254165269871801
0.6161841402128929,-2.5035,-2.342593944864407
0.19253072134074617,0.47824,0.3420756374823984
1.0395985344770062,-4.1415,-2.835467199886203
0.8786104031800649,-2.7105,-1.981806646663016
0.7364207822600158,-3.6218,-4.197262935951589
2.9177156060614653,-3.7261,-6.706024803229043
3.2523358242471043,-4.6845,-0.9267038941021368
0.9576943698581722,1.0868,0.2124067243108479
0.6132014371483768,-5.4435,-4.888852059827399
0.7589232591906996,-6.8406,-6.515397632041887
1.679138793944961,-2.3798,-3.829021244949185
0.7722304513840166,-1.1692,-2.017914739121759
0.5881675227028867,-3.7615,-3.33778204910567
0.7736525669291655,-3.63,-2.844389346556556
0.45780312362113834,-1.0007,-0.7578424587691643
2.39089086159154,-4.0081,-6.894889347905233
0.5968147026675076,-5.0238,-4.853915943102928
0.9251701705268878,-5.0,-4.163084410325345
0.9003924060602961,-4.4003,-5.095544533085448
3.6387535942086355,-3.5024,-7.071799952503272
1.3712143473465832,-3.5808,-4.237009952205558
1.4520240244675744,-4.1391,-5.37444181491783
0.2644925466714636,-0.8466,-0.8204503371784267
0.60974003790596,0.55128,-0.1076771905190305
0.17162404743907267,-3.0634,-2.975899573027973
0.5169543179604752,-2.7601,-3.374953063968747
0.27231712977424627,-4.5561,-4.447967191004741
0.5388340543425777,0.0090339,-0.6182998790830576
0.24689178761406416,0.73048,0.5270284117135262
1.7243998207843287,-1.2579,-3.070492967216692
0.2466595041713137,-3.5511,-3.76321456218841
0.08662721821365954,-5.6038,-5.680499077402835
0.33812184610893103,-4.0757,-4.332823852052783
0.3504244143773234,-4.0514,-3.678759052681245
0.23079105444529835,-4.8339,-4.998440776040072
0.5707284529410813,-1.5308,-2.019557010604783
0.47808218645745143,-1.91,-2.487857220177601
1.4429611277340626,-9.9819,-8.442571164562466
1.537081914366094,-6.8395,-8.649807256166296
0.44456610281916115,-4.654,-5.092625636110002
1.3712001032771333,-7.7563,-9.240363330690816
1.0907173799439145,-7.74,-6.556761658138408
3.178879539847383,-14.5491,-10.54196048584684
0.6468961387537138,-10.382,-9.691792580389285
0.1349811777611139,-3.5745,-3.467242552145159
1.6543046162277992,-2.82,-4.884701198388989
0.6828008983140282,-2.3,-3.202372032784181
0.1593323636208045,-0.8806,-0.8668177520175232
0.26404423652521586,-5.3823,-5.64289416124235
0.26759105408007744,-1.0845,-0.9723545558599552
0.2640385693056645,-2.7272,-2.499181696409081
0.16429108372740064,-4.57,-4.647148916961721
0.35571893928648507,-4.3,-4.672640595593935
0.4717729060329465,-3.7025,-3.838822372617483
0.46545949767492345,-5.7738,-5.201428303380695
0.32390897925214696,-4.78,-5.110965899892533
0.32572612277179963,-2.62,-2.995562487361302
0.5509948452267226,-0.7241,-1.323085378111575
0.17063418456226365,-3.4327,-3.365233017153584
0.18145745063030677,-1.4205,-1.329937660449175
0.26218918225979077,-0.080308,0.1835743847583498
0.1503855396411437,-1.7721,-1.646510076587309
0.7947611431442236,-4.9531,-4.173509559619278
0.6514151183393008,-1.2029,-2.015450750801931
0.46545949767492345,-5.6613,-5.201428303380695
1.4056967956139597,-2.8,-4.604555835399055
0.2308066998502456,-7.16,-6.93606075878742
0.38442177149886314,-2.3522,-2.160999647344652
0.2169604464729573,-1.2576,-1.054069215172384
0.8347631682201698,-4.07,-3.448817575957492
0.5125474768462783,-2.8835,-2.300081074213604
0.2558096808564194,-4.5746,-4.421605851031931
0.14978699077941776,-3.5954,-3.490020543648603
0.2922320894372045,-2.51,-2.258734109710744
0.7225047053239507,-5.18,-4.448773153507723
0.5442241179015411,-1.0265,-1.563728110042879
0.8310452869343327,-5.2966,-4.349733900423782
0.11424239718621798,-2.971,-3.044292078279979
0.219454634159666,-2.5279,-2.584062231429526
0.34609267711177893,-2.7092,-3.120675674428194
0.508770583217954,-0.41649,0.1979712529249294
0.276432004134914,-1.5404,-1.436646029192862
0.4997787127422992,-2.593,-3.099436390767942
0.19156367020838796,-1.9519,-1.884876618958631
0.5204185271702247,-2.6379,-3.02187204822855
3.088994953065191,0.093148,-4.041332659030257
0.6501855980728969,-4.94,-4.250660469389448
0.6139085783328196,-3.2659,-2.819892029247909
0.4835241494931219,-0.3462,-0.7621684399397799
0.4447066341718402,-0.6,-1.11830507841717
0.2451167610017298,-3.4861,-3.287883686203687
0.41661888633508076,-1.16,-1.288472421944957
0.6030750567174598,-3.96,-3.47611726025629
0.6560216452901945,-2.157,-1.457349599563507
0.18714578464120435,-3.0163,-3.126787019117597
0.30076806641968257,-4.655,-4.636487074532437
1.0033359146176095,-4.9595,-6.015153622241597
1.1299311245479282,-4.6698,-3.075799312703996
0.37613481769272206,-2.7782,-3.084017414923284
0.07136212567916086,-2.54,-2.499364701373258
0.30978691392788366,-2.1973,-2.483812232764712
0.6273671695651082,-1.4887,-2.209008549654496
0.7133291935032043,-2.1168,-1.321904096264179
0.42926682457375476,1.142,0.3200205472794319
0.702131107880179,-2.4207,-1.629532603177775
0.19137688435111808,-1.4565,-1.491711977963681
0.8053267129326922,1.065,-0.0340340148016181
2.192904746715888,-7.1763,-4.534788279788298
0.6095686051284145,-3.2621,-2.574370440618009
0.59950774713043,-2.2308,-2.299588272531314
0.331173895105225,0.67107,0.3800516419841033
0.3053412529438236,-1.5461,-1.359530538193658
